country,state,year,week,date,conf,susp,total,New
Brazil,Espirito Santo,2015,36,12/09/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,37,19/09/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,38,26/09/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,39,03/10/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,40,10/10/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,41,17/10/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,42,24/10/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,43,31/10/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,44,07/11/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,45,14/11/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,46,21/11/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,47,28/11/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,48,05/12/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,49,12/12/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,50,19/12/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,51,26/12/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,52,02/01/16,NA,NA,NA,NA
Brazil,Espirito Santo,2016,1,09/01/16,NA,167,167,170
Brazil,Espirito Santo,2016,2,16/01/16,NA,175,175,180
Brazil,Espirito Santo,2016,3,23/01/16,NA,184,184,183
Brazil,Espirito Santo,2016,4,30/01/16,NA,162,162,168
Brazil,Espirito Santo,2016,5,06/02/16,NA,144,144,152
Brazil,Espirito Santo,2016,6,13/02/16,NA,167,167,176
Brazil,Espirito Santo,2016,7,20/02/16,NA,255,255,270
Brazil,Espirito Santo,2016,8,27/02/16,NA,227,227,248
Brazil,Espirito Santo,2016,9,05/03/16,NA,215,215,244
Brazil,Espirito Santo,2016,10,12/03/16,NA,139,139,205
Brazil,Espirito Santo,2016,11,19/03/16,NA,94,94,159
Brazil,Espirito Santo,2016,12,26/03/16,NA,38,38,105
Brazil,Espirito Santo,2016,13,02/04/16,NA,14,14,83
Brazil,Espirito Santo,2016,14,09/04/16,NA,NA,NA,60
Brazil,Espirito Santo,2016,15,16/04/16,NA,NA,NA,68
Brazil,Espirito Santo,2016,16,23/04/16,NA,NA,NA,43
Brazil,Espirito Santo,2016,17,30/04/16,NA,NA,NA,56
Brazil,Espirito Santo,2016,18,07/05/16,NA,NA,NA,42
Brazil,Espirito Santo,2016,19,14/05/16,NA,NA,NA,33
Brazil,Espirito Santo,2016,20,21/05/16,NA,NA,NA,36
Brazil,Espirito Santo,2016,21,28/05/16,NA,NA,NA,12
Brazil,Espirito Santo,2016,22,04/06/16,NA,NA,NA,20
Brazil,Espirito Santo,2016,23,11/06/16,NA,NA,NA,6
Brazil,Espirito Santo,2016,24,18/06/16,NA,NA,NA,9
Brazil,Espirito Santo,2016,25,25/06/16,NA,NA,NA,11
Brazil,Espirito Santo,2016,26,02/07/16,NA,NA,NA,8
Brazil,Espirito Santo,2016,27,09/07/16,NA,NA,NA,17
Brazil,Espirito Santo,2016,28,16/07/16,NA,NA,NA,13
Brazil,Espirito Santo,2016,29,23/07/16,NA,NA,NA,12
Brazil,Espirito Santo,2016,30,30/07/16,NA,NA,NA,8
Brazil,Espirito Santo,2016,31,06/08/16,NA,NA,NA,9
Brazil,Espirito Santo,2016,32,13/08/16,NA,NA,NA,11
Brazil,Espirito Santo,2016,33,20/08/16,NA,NA,NA,14
Brazil,Espirito Santo,2016,34,27/08/16,NA,NA,NA,5
Brazil,Espirito Santo,2016,35,03/09/16,NA,NA,NA,8
Brazil,Espirito Santo,2016,36,10/09/16,NA,NA,NA,7
Brazil,Espirito Santo,2016,37,17/09/16,NA,NA,NA,7
Brazil,Espirito Santo,2016,38,24/09/16,NA,NA,NA,7
Brazil,Espirito Santo,2016,39,01/10/16,NA,NA,NA,2
Brazil,Espirito Santo,2016,40,08/10/16,NA,NA,NA,5
Brazil,Espirito Santo,2016,41,15/10/16,NA,NA,NA,4
Brazil,Espirito Santo,2016,42,22/10/16,NA,NA,NA,5
Brazil,Espirito Santo,2016,43,29/10/16,NA,NA,NA,5
Brazil,Espirito Santo,2016,44,05/11/16,NA,NA,NA,3
Brazil,Espirito Santo,2016,45,12/11/16,NA,NA,NA,5
Brazil,Espirito Santo,2016,46,19/11/16,NA,NA,NA,4
Brazil,Espirito Santo,2016,47,26/11/16,NA,NA,NA,5
Brazil,Espirito Santo,2016,48,03/12/16,NA,NA,NA,9
Brazil,Espirito Santo,2016,49,10/12/16,NA,NA,NA,9
Brazil,Espirito Santo,2016,50,17/12/16,NA,NA,NA,5
